ndc,rxcui,atc_class,atc_class_name
68084-0354-01,1049621,N02AA,Natural opium alkaloids
68084-0396-65,238154,N02BE,Anilides
68084-0230-01,198335,J01EC,Intermediate-acting sulfonamides
69543-0379-10,1867544,B05XA,Electrolyte solutions
63323-0314-61,239209,A07AA,Antibiotics
0409-4332-01,1807516,A07AA,Antibiotics
51079-0966-20,310273,A02BA,H2-receptor antagonists
0338-0709-48,312507,B05XA,Electrolyte solutions
0168-0003-80,1085644,A01AC,Corticosteroids for local oral treatment
0168-0357-55,197877,N01BB,Amides
10370-0101-03,993541,N06AX,Other antidepressants
49884-0161-11,313919,H05BA,Calcitonin preparations
51079-0991-20,835603,N02AX,Other opioids
0338-0089-04,1795346,B05BB,Solutions affecting the electrolyte balance
0597-0075-75,580261,R03BB,Anticholinergics
63323-0221-10,1807516,A07AA,Antibiotics
0338-1007-02,1743877,C01CA,Adrenergic and dopaminergic agents
68516-5214-02,1741424,B05AA,Blood substitutes and plasma protein fractions
59762-3060-03,308460,J01FA,Macrolides
68084-0060-01,311354,C09AA,"ACE inhibitors, plain"
51079-0086-20,311725,N06AX,Other antidepressants
0338-0431-03,1658692,B01AB,Heparin group
0409-1778-05,866508,C07AB,"Beta blocking agents, selective"
0143-9938-01,308182,J01CA,Penicillins with extended spectrum
68084-0447-01,905199,C02DB,Hydrazinophthalazine derivatives
0641-6142-25,1666372,C01CA,Adrenergic and dopaminergic agents
0186-0777-39,1116639,B01AC,Platelet aggregation inhibitors excl. heparin
51079-0863-20,308963,C09AA,"ACE inhibitors, plain"
51079-0558-03,749196,B01AC,Platelet aggregation inhibitors excl. heparin
55150-0154-10,1734932,J05AB,Nucleosides and nucleotides excl. reverse transcriptase inhibitors
0406-1142-01,1091497,N06BA,Centrally acting sympathomimetics
51672-4001-01,198045,N06AA,Non-selective monoamine reuptake inhibitors
68462-0157-13,104894,A04AA,Serotonin (5HT3) antagonists
43547-0406-10,197527,N03AE,Benzodiazepine derivatives
0338-0125-04,847627,A12AA,Calcium
60687-0293-01,317136,N06AA,Non-selective monoamine reuptake inhibitors
0904-6357-61,312828,N05AX,Other antipsychotics
0603-2544-21,238154,N02BE,Anilides
57664-0377-08,835603,N02AX,Other opioids
0338-0675-04,615100,B05CX,Other irrigating solutions
0641-6117-10,1659598,J01CR,"Combinations of penicillins, incl. beta-lactamase inhibitors"
51079-0451-20,197361,C08CA,Dihydropyridine derivatives
0904-6370-61,197361,C08CA,Dihydropyridine derivatives
67457-0554-00,1658262,B05XA,Electrolyte solutions
42858-0301-01,897696,N02AA,Natural opium alkaloids
0641-6135-25,314192,N05AB,Phenothiazines with piperazine structure
68084-0676-01,311666,A03FA,Propulsives
0904-6323-61,866436,C07AB,"Beta blocking agents, selective"
0904-5853-61,197805,M01AE,Propionic acid derivatives
66685-1002-02,617296,J01CR,"Combinations of penicillins, incl. beta-lactamase inhibitors"
0904-6302-61,200032,C07AG,Alpha and beta blocking agents
51079-0103-20,313096,C03DA,Aldosterone antagonists
36000-0284-25,1719286,C03CA,"Sulfonamides, plain"
50268-0756-15,198371,C03CA,"Sulfonamides, plain"
0904-6449-61,317110,C01DA,Organic nitrates
51079-0075-20,905225,C02DB,Hydrazinophthalazine derivatives
59011-0410-20,1049504,N02AA,Natural opium alkaloids
